"id","type_id","item_id","text","referencedTopic_id"
501,1,32893,"Willard C. Olson, 1952 to 1969",
502,4,32921,,5464
503,4,32922,,33326
504,3,32922,,33326
505,1,32922,"titles Director of Educational Investigations discontinued in 1930, no RP ref",
506,1,32922,"Office of V Pres. of Educational Investigations created, no R.P. ref.",
507,2,11632,indexes for membership of and reports by,
508,2,11688,"1906-10 through 1917-20",
509,2,11709,volumes 1942-66,
510,2,11712,"volumes 1936-48, and 1954-60",
511,1,33157,"died May 3, 1970",
512,1,33172,"died August 2, 1974",
513,1,33194,"Died February 10, 1976",
514,1,33206,"died November 17, 1967 at age 99",
515,2,11742,volumes 1942-66,
516,2,11745,volume 1926-29,
517,1,33276,"died October 12, 1963",
518,3,33450,,11628
519,1,33483,"Died December 2, 1979",
520,2,11832,"1954-57",
521,2,11848,volumes 1886-1914 for instructors in electrical engineering,
522,4,33656,,32174
523,1,33919,"died November 1, 1982",
524,4,34004,,29904
525,2,12012,"1936-39",
526,4,34065,,12004
527,2,12030,"1945-60",
528,4,34106,,31095
529,2,12036,volumes 1966-72 for investment program report,
530,1,34169,"revised or amended, RP volumes 1945-63, and 1966-69",
531,2,12048,"1932-39",
532,2,12077,"1954-57, 1960-63, 1966-69",
533,4,34427,,32203
534,4,34427,,11427
535,3,34453,,5999
536,1,34458,"discussion re separation from Arch. College, RP volumes 1910-14, 1917-23",
537,3,34468,,19546
538,3,34568,,27510
539,1,34658,SEE:  Humanities Department,
540,4,34659,,12167
541,4,34659,,12168
542,3,34839,,12215
543,1,34879,"Died January 15, 1982",
544,1,34901,"Res. in Diseases of the Heart and Circ....Board of Sci. Dirs., 1960-66, 1969-72",
545,1,35011,"died, April 6, 1967",
546,2,12279,"1936-39, 1942-48, 1951-54",
547,1,35212,"MM-Phoenix Project Executive Committee, RP 1954-60, and 1963-72",
548,3,35439,,8741
549,2,12466,"1948-54",
550,1,35475,"died Feb. 26, 1970",
551,1,35557,"fees for admission, RP 1896-01, 1906-10, 1932-36, 1942-45",
552,2,12494,"1876-1901 for admission of students without, from accredited high schools",
553,1,35646,SEE:  Near East Research,
554,1,35646,to Greenland see Greenland Expedition,
555,1,35646,to Near East see Kelsey Museum of Archaeology,
556,4,35659,,12250
557,3,35699,,187
558,2,12520,"volumes 1942-69, and 1975-81 for executive committee",
559,2,12525,"volumes 1920-29, 1932-36, 1948-51, for, in",
560,4,35770,,30065
561,4,35863,,30065
562,2,12562,volumes 1870-85 for reports on,
563,2,12568,volumes 1948-60 for members,
564,2,12581,"volumes 1914-20, 1939-42, and 1960-63 for entering government service",
565,2,12582,"volumes 1837-64, and 1870-76 for appointments of professors",
566,2,12583,"volumes 1926-32, 1942-51, for definitions",
567,4,35952,,30091
568,2,12587,"volumes 1837-70, 1906-10, and 1914-20 for, of instructors",
569,2,12587,"volumes 1837-76, 1906-10, and 1914-20 for, of assistant professors",
570,2,12587,"volumes 1906-20, 1945-57, for increases",
571,1,36085,SEE:  Fajans Award Kasimir,
572,3,36085,,12627
573,2,12660,"1939-48, and 1957-60",
574,3,36233,,12627
575,3,36257,,12698
576,3,36257,,12697
577,1,36450,"SEE:  Fassett Scholarship Fund, Eugene G.",
578,1,36531,"on Institute for Human Adjustment Executive Committee, RP 1951-72",
579,1,36532,"Institute of Gerontology Executive Board, RP volumes 1963-75",
580,4,36736,,12863
581,2,12860,"1932-36, 1939-60, governance of student fees, refunds, residence, etc",
582,2,12865,"volumes, 1932-36, 1939-60, and 1972-75 for schedule of",
583,4,36801,,25769
584,1,36825,"Library, Athletic Assoc. and infirmary fees, 1910-14, 709",
585,1,36855,the following are on term basis,
586,1,37028,"on leave, RP 1954-57, 1960-66",
587,1,37149,"died July 1, 1972",
588,2,12951,"1945-48, 1948-51",
589,2,12989,volumes 1932-42 for contracts with engineering research,
590,1,37258,"SEE ALSO:  Ferry Trustee Corporation, D. M., Jr.",
591,1,37281,"Program Dir. of Research Center for Group Dynamics, 1948-51, 32, 995, 1222",
592,2,13026,"1936-42",
593,1,37374,"died August, 1966",
594,2,13038,"1926-29 through 1936-39",
595,2,13160,"volume 1906-17 for establishment of, system",
